point_threshold,detection_f1,detection_precision,detection_recall
0.06,0.5964912280701754,0.48653198653198654,0.7706666666666667
0.08,0.5296343001261034,0.5023923444976076,0.56
0.09,0.4900662251655629,0.4868421052631579,0.49333333333333335
0.1,0.4761904761904762,0.4861111111111111,0.4666666666666667
0.12,0.42899408284023666,0.48172757475083056,0.38666666666666666
0.14,0.40930232558139534,0.4888888888888889,0.352
0.16,0.40705128205128205,0.5100401606425703,0.33866666666666667
0.18,0.3853820598006644,0.5110132158590308,0.30933333333333335
0.2,0.36426116838487976,0.5120772946859904,0.2826666666666667
