budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.3218013580135611,0.2974848231914442,0.2906141731033894,0.0,0.0,0.0,0.0,0.0,0.0
10,0.35101091139724805,0.29727249994906296,0.2742984526493527,0.0060975609740853655,0.0060975609740853655,0.0060975609740853655,0.0,0.0,0.0
20,0.2619918698813804,0.24864205349690094,0.22952917337873416,0.02439024387804878,0.02439024387804878,0.02439024387804878,0.0,0.0,0.0
40,0.2558054928894151,0.22326169763146902,0.20165310052093757,0.0,0.0,0.0,0.0,0.0,0.0
60,0.25882895994141575,0.18850023377728817,0.18240224623238377,0.0,0.0,0.0,0.0,0.0,0.0
100,0.16240751115543217,0.1313853739718293,0.12165806752085105,0.0,0.0,0.0,0.0,0.0,0.0
150,0.13279132787918096,0.12946523251106962,0.11573409849629071,0.0,0.0,0.0,0.0,0.0,0.0
200,0.07919105924965737,0.09636082071909216,0.0811991869619045,0.0,0.0,0.0,0.0,0.0,0.0
