budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.3212406913628114,0.2992886178683315,0.2926319319728634,0.02439024387804878,0.02439024387804878,0.02439024387804878,0.0,0.0,0.0
10,0.32518586145246814,0.2952355775044704,0.2726156634744783,0.02439024387804878,0.02439024387804878,0.02439024387804878,0.0,0.0,0.0
20,0.3106707316723528,0.2817032058285846,0.2594815238960832,0.012195121945121951,0.012195121945121951,0.012195121945121951,0.0,0.0,0.0
40,0.24439024386610853,0.20639084709761651,0.1915031001839188,0.004065040649728997,0.004065040649728997,0.004065040649728997,0.0,0.0,0.0
60,0.26494723017991034,0.185597593824027,0.17923661702367635,0.0,0.0,0.0,0.0,0.0,0.0
100,0.16783885646937707,0.14166942572433144,0.1380479541443454,0.0,0.0,0.0,0.0,0.0,0.0
150,0.09817941462641985,0.11810252553193565,0.09973945506852597,0.0,0.0,0.0,0.0,0.0,0.0
200,0.11753269704806647,0.10634863700404593,0.09983335857087842,0.0,0.0,0.0,0.0,0.0,0.0
