budget,car_ap_easy,car_ap_moderate,car_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard,dontcare_ap_easy,dontcare_ap_moderate,dontcare_ap_hard,misc_ap_easy,misc_ap_moderate,misc_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,person_sitting_ap_easy,person_sitting_ap_moderate,person_sitting_ap_hard,tram_ap_easy,tram_ap_moderate,tram_ap_hard,truck_ap_easy,truck_ap_moderate,truck_ap_hard,van_ap_easy,van_ap_moderate,van_ap_hard
0,0.7471767914625764,0.7094900546458608,0.6817592034880751,0.6617748557958097,0.594747496027209,0.5777530875112009,0.0,0.0,0.0,0.0,0.0,0.0,0.4630309238673673,0.43108828704034,0.4000519081532377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6943185349990492,0.6135856815156382,0.5738838412214534,0.592271134756757,0.49154579370603746,0.4788534206695274,0.0,0.0,0.0,0.0,0.0,0.0,0.4425690795246397,0.40176617009731924,0.37100179404780254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.651829371444248,0.5507065591998492,0.5019249499518383,0.4986045450924904,0.40511324527364556,0.39539454811036173,0.0,0.0,0.0,0.0,0.0,0.0,0.43261795376279216,0.38773636167782843,0.3477979695997646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.5778855175374179,0.45282144276203773,0.41297183090331846,0.3433676796374314,0.26963833814936516,0.2667523390494947,0.0,0.0,0.0,0.0,0.0,0.0,0.3752578770955441,0.3269851003960258,0.2950969904408876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.511021556564555,0.3809843567708154,0.33952355746700963,0.21613238760499828,0.175889862769548,0.17578784368954475,0.0,0.0,0.0,0.0,0.0,0.0,0.3433497823218102,0.2997190983971112,0.2627419166517523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.39564880925604734,0.283905619992206,0.24983497344766256,0.10700389963450575,0.09203409191134525,0.09411616323949752,0.0,0.0,0.0,0.0,0.0,0.0,0.26669075144733956,0.22797656457790014,0.1993483269717419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.26349073176927024,0.1951186647120017,0.1701165487123622,0.034746779441793656,0.030110782820350093,0.031389412455460085,0.0,0.0,0.0,0.0,0.0,0.0,0.22825269679175011,0.186216759348417,0.16339446238833116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
