budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.8751159469748326,0.7862715325853853,0.7774867106317909,0.2697355781553735,0.31288995718374085,0.33395846138482566,0.03252032519241192,0.03252032519241192,0.03252032519241192
40,0.8162847417813082,0.6007184394817698,0.5566681974563104,0.17944250867110503,0.21624564455772655,0.22954941395845221,0.03252032517750677,0.03252032517750677,0.03252032517750677
100,0.6723016130066797,0.4516119546984742,0.40759375048171964,0.0670731707027439,0.07926829265243902,0.08434959346523543,0.0,0.0,0.0
200,0.39485855571961626,0.30165336268632614,0.2756785127358622,0.03600464574973729,0.04360679969271428,0.04360679969271428,0.0,0.0,0.0
