budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.7471767914625764,0.7094900546458608,0.6817592034880751,0.4630309238673673,0.43108828704034,0.4000519081532377,0.6617748557958097,0.594747496027209,0.5777530875112009
10,0.6915516591519479,0.6130867419540891,0.5734553684136292,0.44159933132370327,0.40073479441373583,0.36760127293921874,0.5848258770469967,0.4928593672882892,0.4795127425240759
20,0.6528795060739305,0.5494562477257833,0.5017139326945538,0.4234619930527618,0.3800999747611875,0.3431022841042754,0.48852989511789335,0.39469930894675576,0.3855753978889072
40,0.5769094946117972,0.45160602415323414,0.4068880579559558,0.3774125895879128,0.3327994184117927,0.29624271100948235,0.33482463264745715,0.2628220068856306,0.25793254414864414
60,0.5089290118379365,0.38149238217040665,0.34015986327012104,0.3393039601789451,0.2917073182676535,0.26065756623410336,0.20832207301275923,0.16932736621077593,0.1673956115319165
100,0.3918648471730124,0.2814405179058256,0.24922201122361745,0.27989718811078634,0.23931354108969627,0.20690342919902047,0.08494520584076468,0.07599066968253385,0.07972775777964813
150,0.2631657598460243,0.19484925596489544,0.17034066614236795,0.2216981302028678,0.1825442567474317,0.15930598231348006,0.04507640639873718,0.04075918843933916,0.040353385225446584
200,0.18452863594780444,0.1388328004683816,0.12544706986071488,0.17115755342229136,0.1395495345027254,0.1213619309246215,0.019920523567853534,0.02031517387080154,0.020611793410748397
