point_threshold,detection_f1,detection_precision,detection_recall
0.06,0.6129032258064516,0.4478114478114478,0.9708029197080292
0.08,0.5994236311239193,0.49523809523809526,0.7591240875912408
0.09,0.5779816513761467,0.49736842105263157,0.6897810218978102
0.1,0.5678233438485805,0.5,0.656934306569343
0.12,0.5565217391304348,0.53156146179402,0.583941605839416
0.14,0.5220588235294117,0.5259259259259259,0.5182481751824818
0.16,0.5124282982791588,0.5381526104417671,0.48905109489051096
0.18,0.4830339321357286,0.5330396475770925,0.4416058394160584
0.2,0.4573804573804574,0.5314009661835749,0.40145985401459855
