budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.7190197781324587,0.7084748366256602,0.6796997156712472,0.17044234779800158,0.24463158313759606,0.26839195671397964,0.056910569074525734,0.056910569074525734,0.056910569074525734
40,0.5566041073128822,0.44470977965114594,0.4285423323487336,0.06506169096122233,0.12624149902999357,0.13599907580108564,0.0081300813001355,0.0081300813001355,0.0081300813001355
100,0.436802171436017,0.34387568888255615,0.3168113592031864,0.030752916200147536,0.06518847004113364,0.06875777402676937,0.0034843205569935294,0.0034843205569935294,0.0034843205569935294
200,0.22124979642962866,0.1907396750176884,0.1770648980415583,0.010834644633992249,0.04035124764079004,0.04035124764079004,0.0,0.0,0.0
