budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.4747433062506227,0.42817185358902343,0.4087159753086948,0.3190490296196258,0.28413406094262234,0.25760638680599346,0.45901542903198,0.35524916271468804,0.33181357962459146
10,0.4598895605086792,0.3785712308782287,0.37389787975103167,0.2946927999348652,0.25763763810490825,0.23163886703259948,0.45284701064837385,0.3091178010211808,0.2870905028544198
20,0.44279677890348473,0.35470163103125696,0.33375538793739273,0.2852652966696141,0.24954933403460902,0.212073738588946,0.4361806281811951,0.2769942851864081,0.2561691896130814
40,0.4325853491969836,0.324752117878987,0.3015269700665965,0.27749954820738815,0.23920272701128034,0.20124269285380128,0.34180011974887603,0.2107084219546428,0.20275713818844304
60,0.40896060104788884,0.2983337823157695,0.2599189079631859,0.25437671547104074,0.21831062590303374,0.190379754526111,0.2935808094292201,0.1742330878039624,0.1709503618600468
100,0.35831139721230365,0.24747109550690427,0.21883005408384038,0.2155725536342974,0.1765390942052428,0.15274025456991547,0.2304992836654393,0.1419247184523203,0.1399248195404266
150,0.3015690891517468,0.2034825077139654,0.17780894624786134,0.1957506148502097,0.15759782949728401,0.13541465206060793,0.1623441073893435,0.09866993810290771,0.09635705270807665
200,0.25863231876142784,0.1746481226224985,0.1522250208706989,0.1720811928093443,0.13397890549676786,0.112006136634834,0.12513529159529183,0.07865332499050469,0.07915183811484672
