budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.61271321845338,0.5420042296831351,0.513691804244412,0.10310389066261658,0.11994544286470338,0.11994544286470338,0.028658536580320124,0.028658536580320124,0.028658536580320124
40,0.4864781978760003,0.36173110155216054,0.3442851789739548,0.03466452246264876,0.04110523622015299,0.04110523622015299,0.0,0.0,0.0
100,0.3042479653202708,0.2566705155921282,0.248348122899831,0.02697708794464041,0.0316228486877409,0.0316228486877409,0.0048780487795121955,0.0048780487795121955,0.0048780487795121955
200,0.22856861744347196,0.19332735207899843,0.18730432394941457,0.006312769009025235,0.00905923344838228,0.00905923344838228,0.0,0.0,0.0
