budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.5637254320099289,0.4805138187948105,0.4426987386524102,0.3756229395173248,0.330632336175966,0.29399706683678817,0.3703767064071231,0.3360788516658555,0.33032517565401115
10,0.5135828174912299,0.4140042271325115,0.3793320580872579,0.36209176137782617,0.3117392510501952,0.27896159673623655,0.288686768539135,0.25623249982702406,0.2538449708934132
20,0.4863848667061059,0.37716748558586755,0.3421651696801111,0.3145678433150397,0.27259878355614253,0.24083826033360992,0.2886291959931837,0.2553485132500655,0.2536722939708267
40,0.42588843833756435,0.3280937040792952,0.29612204529592423,0.2952999225831772,0.2551087561072515,0.2212655615019055,0.16876639273355698,0.15868106489535241,0.16191396266529623
60,0.3855390094042885,0.2889604073062471,0.25902817312256343,0.25894073093657977,0.22511497980258952,0.19621532478008155,0.1759833665909287,0.15409305564222944,0.1576511453397717
100,0.30751197534611785,0.23884665279060194,0.2132508421650594,0.20845534027957466,0.1741787586604858,0.15348876705074968,0.10695441098217162,0.10495425253551643,0.10879339650671292
150,0.24332982557559257,0.18733415689758567,0.16688044930108203,0.14734901758257749,0.1255558157812012,0.11451676765640775,0.08560788853653414,0.08167379039472752,0.08610610611206194
200,0.19341689150194502,0.15050744012513464,0.136533185094312,0.08678749392016794,0.07411367403740655,0.06708155274708001,0.05425348167995201,0.0557292267011942,0.05906671903949618
