budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.2777777777416535,0.28471158999711793,0.27740515998264464,0.0,0.0,0.0,0.0,0.0,0.0
10,0.33144599299916394,0.27339584871349004,0.27057118133357627,0.03135888499203584,0.03135888499203584,0.03135888499203584,0.0,0.0,0.0
20,0.31470805613401576,0.282420956416269,0.26100433018139857,0.02439024387804878,0.02439024387804878,0.02439024387804878,0.0,0.0,0.0
40,0.2617886178550068,0.22410683469218468,0.20315733853919504,0.02439024387804878,0.02439024387804878,0.02439024387804878,0.0,0.0,0.0
60,0.24216027870507717,0.1729490021987028,0.14868483977254598,0.0,0.0,0.0,0.0,0.0,0.0
100,0.20604798115410158,0.1636229833873941,0.14561265475204635,0.0,0.0,0.0,0.0,0.0,0.0
150,0.14964239864098683,0.14369918695899223,0.11557274558878222,0.0,0.0,0.0,0.0,0.0,0.0
200,0.1549642768995261,0.12890695572655508,0.11240101361150176,0.0,0.0,0.0,0.0,0.0,0.0
