budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.8974724758653225,0.7993859564466713,0.7757869317526275,0.620922790651026,0.5565320934947493,0.49205889532797775,0.8976893916260754,0.7128966404253334,0.668974191705383
10,0.87814408012321,0.718646473702473,0.6917735387365507,0.615097473295053,0.5407753088818888,0.47221240142213594,0.8616712806888869,0.6422082667902315,0.5980976421548774
20,0.8447732425506663,0.665998204862658,0.6232612169500998,0.5752111788195362,0.5041526867368941,0.44187255298436834,0.824414893059877,0.5536355596039694,0.5140718119763429
40,0.8092080227863977,0.5950832028132446,0.5474206844568399,0.5452959814950711,0.469612021706319,0.3950294477756888,0.6634981037378334,0.4044655666704617,0.38092366805660566
60,0.7731389290578551,0.5412708489973009,0.4786981072729591,0.4888494654800985,0.4140326237323465,0.35263298445543406,0.5529239399665524,0.3391454668472551,0.31803586283696134
100,0.6818954952050149,0.450606812599833,0.3982073751907375,0.4173250355759729,0.3491619531506602,0.29108840353592796,0.4038144656678374,0.24219474605190258,0.23300804904449068
150,0.5612331444054467,0.3766353309218876,0.3206057720830472,0.37570024968592614,0.30797361753868263,0.2556956359275609,0.2749344303085566,0.17123701898514287,0.15735164231524756
200,0.480216182976758,0.3204500537561353,0.27008027084068065,0.3185297050617603,0.2583353788147224,0.21734297452309712,0.24346907817310584,0.15478010927942035,0.15136865039798109
