budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.6347320312391244,0.6284251600082735,0.5635348397228523,0.13567499570452315,0.15963653750946147,0.15963653750946147,0.012195121945121951,0.012195121945121951,0.012195121945121951
40,0.4701900113453326,0.3977684115175711,0.35564288377801145,0.09142126869295977,0.1152439024031015,0.1152439024031015,0.0,0.0,0.0
100,0.390134602208525,0.30723359822013707,0.26857603102378125,0.027642276398157178,0.027642276398157178,0.027642276398157178,0.0,0.0,0.0
200,0.3113458422650798,0.2397470632620526,0.20282368233481246,0.013133208249043873,0.013133208249043873,0.013133208249043873,0.0,0.0,0.0
