budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.47723204184385054,0.43080462070704434,0.42672301752928404,0.31357500003094535,0.280589024260122,0.24197274905229688,0.45213953669226004,0.3525765606151548,0.3288055618687512
10,0.44685145425442147,0.3792120830046355,0.3732364465176631,0.2984918802534834,0.2719696933057907,0.23499724720069867,0.4358830012295919,0.2997244260649831,0.2913382990164467
20,0.4441769235580006,0.35546052397436884,0.34830001309014774,0.291784043996025,0.2567928723357679,0.23137290657539783,0.4206813411614811,0.27845126629657274,0.257347331108229
40,0.4339808705844187,0.32670887660741893,0.302728494108118,0.2565830305888755,0.22881414144081047,0.19265711000639046,0.32036503923126913,0.20061001536609338,0.1830585141136137
60,0.40620385317967145,0.2958554724668363,0.2586288490492912,0.26072640175471246,0.22152926968294898,0.1929625402199605,0.28581171655644755,0.1718974615003315,0.16767812851025055
100,0.3602043657555266,0.24804635070585282,0.22091173320840973,0.214191714653402,0.178532176141397,0.1547315467134676,0.23057001099937574,0.14268483496801096,0.1357367838396508
150,0.30283519911986556,0.20265929131371965,0.1784547673203113,0.19552239819515937,0.15713924039835894,0.13497399551536549,0.15765221770735896,0.09667184666875245,0.09649912379367072
200,0.25395406991073294,0.1728730051704853,0.1502532224787073,0.1716051894130263,0.13288519181509562,0.11348775163707545,0.1270980854917121,0.0762876957815861,0.07355332376463648
