budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.9163058852821252,0.8144692835446141,0.7872359402151095,0.278470566633984,0.33862308441230904,0.35523672880905593,0.0670731707027439,0.0670731707027439,0.0670731707027439
10,0.8818176271842938,0.7223262934439377,0.659061135008228,0.28169132618943404,0.32469312924139515,0.32469312924139515,0.09756097558536585,0.09756097558536585,0.09756097558536585
20,0.8532088037816694,0.6789269711873333,0.6335964012361274,0.2652729384140637,0.31685855675528796,0.32794503125606067,0.02439024387804878,0.02439024387804878,0.02439024387804878
40,0.7736264383302602,0.5933666470370981,0.5515234449307168,0.16829268288642277,0.19921602783208522,0.19921602783208522,0.03252032517750677,0.03252032517750677,0.03252032517750677
60,0.7986094359406455,0.5410484048275166,0.49416762296430056,0.14789005028764388,0.17335239282150483,0.17335239282150483,0.02439024387804878,0.02439024387804878,0.02439024387804878
100,0.5851089594946927,0.41968974005349086,0.3976978998658034,0.07317073168292683,0.10623306230082503,0.10623306230082503,0.0,0.0,0.0
150,0.4426337179118357,0.33956369145685306,0.3099597622961488,0.06097560972967479,0.07665505223643604,0.07665505223643604,0.0,0.0,0.0
200,0.4125656820952702,0.2992205297431528,0.27842548188249794,0.044715447126129175,0.05432372502638077,0.05432372502638077,0.0,0.0,0.0
