point_threshold,detection_f1,detection_precision,detection_recall
0.08,0.645273200346921,0.4781491002570694,0.992
0.09,0.645273200346921,0.4781491002570694,0.992
0.1,0.645273200346921,0.4781491002570694,0.992
0.12,0.645273200346921,0.4781491002570694,0.992
0.14,0.645273200346921,0.4781491002570694,0.992
0.16,0.6446568201563858,0.47809278350515466,0.9893333333333333
0.18,0.6402814423922603,0.4776902887139108,0.9706666666666667
0.2,0.6416443252904379,0.4825268817204301,0.9573333333333334
