budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.5688626669312101,0.48340252795097083,0.4452566812848192,0.35838952223679715,0.3224901870644236,0.28628182919718287,0.36539407616957004,0.316123347731128,0.3220726775436133
10,0.5147674428409637,0.4191230230932503,0.3837930044718187,0.34200985088778024,0.3006208797654386,0.2621923017674757,0.29879887695147705,0.2670002000772151,0.26414598941692435
20,0.4852734837889256,0.3783686904402812,0.34453536794212586,0.3175833602166927,0.28442698772674263,0.2498170160980592,0.2540399889209615,0.21792372583736305,0.22149183634780928
40,0.42290331103888085,0.31631704796552595,0.2950188692469546,0.2895725229165213,0.256010830066728,0.22131879319177897,0.1991203883175164,0.17977151616736137,0.18308852680096305
60,0.3793679722265874,0.28844030134982973,0.25815534997169176,0.26456675867795504,0.22549346685614152,0.19537431151858486,0.16916606870474585,0.15852178683899754,0.16242617808457555
100,0.3063158552439256,0.22802576786855172,0.20995774845523446,0.19728802973538026,0.17553023185462094,0.15380518725741224,0.11084805242669651,0.1071571521898958,0.11333732022901624
150,0.23737915708369098,0.180899700839603,0.1649082052350445,0.12933830829910783,0.11691705154860733,0.1046678058278761,0.09183328925714312,0.08735011568551838,0.08998715827854355
200,0.19853528148387256,0.15421388238178563,0.15118513686746304,0.08748847292005418,0.07396907595841601,0.06854379390671395,0.0681414776503897,0.06693951290718837,0.06987325150222584
