budget,detection_f1,detection_precision,detection_recall
0,0.47619047619047616,0.47619047619047616,0.47619047619047616
10,0.47619047619047616,0.47619047619047616,0.47619047619047616
20,0.4,0.42105263157894735,0.38095238095238093
40,0.358974358974359,0.3888888888888889,0.3333333333333333
60,0.358974358974359,0.3888888888888889,0.3333333333333333
100,0.4,0.42105263157894735,0.38095238095238093
150,0.4,0.42105263157894735,0.38095238095238093
200,0.4,0.42105263157894735,0.38095238095238093
