point_threshold,detection_f1,detection_precision,detection_recall
0.1,0.5702970297029704,0.6233766233766234,0.5255474452554745
0.11,0.4776785714285714,0.6149425287356322,0.3905109489051095
0.12,0.37878787878787873,0.6147540983606558,0.2737226277372263
0.13,0.29427792915531337,0.5806451612903226,0.19708029197080293
0.14,0.18397626112759646,0.49206349206349204,0.11313868613138686
0.15,0.1316614420062696,0.4666666666666667,0.07664233576642336
0.16,0.08387096774193548,0.3611111111111111,0.04744525547445255
