budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.9035572680544833,0.8150766811654855,0.7872832024604515,0.26856368559746013,0.3099317242039912,0.3099317242039912,0.07317073168292683,0.07317073168292683,0.07317073168292683
10,0.7822688522792043,0.6488926358167221,0.6220637595211311,0.3083623693055002,0.3777439024065129,0.3777439024065129,0.06097560972256097,0.06097560972256097,0.06097560972256097
20,0.8390968841746776,0.6730474991719458,0.6283092225193835,0.28379790936961047,0.32865853654511945,0.34164044055730225,0.0670731707027439,0.0670731707027439,0.0670731707027439
40,0.7430351257665467,0.5724373511696229,0.5437327998464028,0.2503553157701179,0.29329268288006494,0.29329268288006494,0.04065040647425474,0.04065040647425474,0.04065040647425474
60,0.768165498799299,0.5289718497485049,0.4924540933086395,0.152439024362696,0.22055562798549658,0.2284465892478183,0.012195121945121951,0.012195121945121951,0.012195121945121951
100,0.5878684236701803,0.4148598244774167,0.3811580350428614,0.07317073168292683,0.09428161505825515,0.09970166925859641,0.0,0.0,0.0
150,0.5106751594502222,0.37398693035522923,0.33478547278538245,0.0670731707027439,0.0926829268009756,0.0926829268009756,0.0,0.0,0.0
200,0.36591514650760265,0.2825900460241175,0.26716578799106094,0.06097560972967479,0.09930313586090095,0.09930313586090095,0.0,0.0,0.0
