budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.32042085123194874,0.2989598278142276,0.29400223706622886,0.012195121945121951,0.012195121945121951,0.012195121945121951,0.0,0.0,0.0
40,0.2956548472676431,0.2339813160529563,0.2105103568361737,0.00813008129810298,0.00813008129810298,0.00813008129810298,0.0,0.0,0.0
100,0.23348115294934355,0.16644599299731988,0.1700515436282378,0.0,0.0,0.0,0.0,0.0,0.0
200,0.10532150772226159,0.11326319142431296,0.1054006968317156,0.0,0.0,0.0,0.0,0.0,0.0
