ratio_threshold,detection_f1,detection_precision,detection_recall
1.5,0.5625,0.3935860058309038,0.9854014598540146
2.0,0.5636363636363637,0.40924092409240925,0.9051094890510949
3.0,0.5092989985693848,0.4188235294117647,0.6496350364963503
4.0,0.4373897707231041,0.4232081911262799,0.45255474452554745
5.0,0.3780487804878048,0.42660550458715596,0.33941605839416056
6.0,0.26004728132387706,0.3691275167785235,0.20072992700729927
7.0,0.21265822784810126,0.34710743801652894,0.15328467153284672
8.0,0.16172506738544476,0.30927835051546393,0.10948905109489052
9.0,0.14565826330532214,0.3132530120481928,0.0948905109489051
