number,spoofed_f1,pred_f1,cluster_on_bev,dbscan_min_samples,temporal_window,motion_tolerance,min_frames_associated,centroid_method,dbscan_eps_3d
24,0.32232809889220315,0.2612791668573238,False,14,13,2.075554809210927,4,first_diff,0.6773642618271059
40,0.30019215703575103,0.2644080656787766,False,11,10,2.841954983696618,3,linear_velocity,0.5524240426207336
56,0.3097489747946184,0.2636700108727565,False,18,13,2.9099680114179076,3,linear_velocity,0.6024725093350147
76,0.32366364159834876,0.22503127941404877,False,18,8,0.4220904092867114,2,linear_velocity,0.8776340603804893
78,0.253080483497883,0.2670680986781966,True,20,12,0.9756558250444074,4,linear_velocity,
