budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.19512195119512196,0.17073170730569107,0.1951219512092426,0.04065040647425474,0.04065040647425474,0.04065040647425474,0.0,0.0,0.0
10,0.19512195119512196,0.16666666665334237,0.16149959452337495,0.00813008129810298,0.00813008129810298,0.00813008129810298,0.0,0.0,0.0
20,0.16158536582126523,0.15768879611826964,0.15966228891284961,0.03658536582621951,0.03658536582621951,0.03658536582621951,0.0,0.0,0.0
40,0.19512195119512196,0.140243902425686,0.13486370156515787,0.0060975609740853655,0.0060975609740853655,0.0060975609740853655,0.0,0.0,0.0
60,0.13937282226928818,0.11653116529220114,0.09512195120512194,0.0,0.0,0.0,0.0,0.0,0.0
100,0.15708478510500318,0.11324041810340967,0.10569105689620595,0.0,0.0,0.0,0.0,0.0,0.0
150,0.08536585363262195,0.07358765892675086,0.060037523435031506,0.0,0.0,0.0,0.0,0.0,0.0
200,0.07317073168292683,0.07317073169268293,0.07317073169268293,0.0,0.0,0.0,0.0,0.0,0.0
