budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.8986894747883173,0.7994712158785728,0.7756296336764139,0.6521959811274343,0.5753841364639113,0.5078002311400006,0.9073624399198403,0.7105344217601625,0.6670571373298189
10,0.873829699987886,0.718216370941953,0.6919136489098402,0.6208651344984486,0.542272073129046,0.47575390187070327,0.8677085938580013,0.6370260829995374,0.5929510788995341
20,0.8508936937239666,0.6690878111229481,0.6253098209987797,0.5868602821301931,0.5138062762106385,0.44922368480840175,0.8067749738382723,0.5393490999481403,0.5119533484360049
40,0.8180830026467465,0.5937055876350048,0.5462981280363257,0.5270292196819454,0.4553237896037196,0.39197697228068146,0.6642538823487293,0.4062389482792518,0.3821924846482174
60,0.7763716082928108,0.5428474828153067,0.48000581487773686,0.48904654470791903,0.4123896056510154,0.3495837746182608,0.5522241533281526,0.33570403345660627,0.3143996447585146
100,0.6758676891413935,0.44771706752648993,0.3958971567555713,0.42195737975573155,0.34665526297415694,0.29001181805979265,0.40643580370898513,0.24312385581674148,0.2351474722990108
150,0.564665822664779,0.3777397829754089,0.32167816951548844,0.35724024603729565,0.2914044003191536,0.24852821326056754,0.2890697593499255,0.1762549988271366,0.17317009144213658
200,0.4798457365470403,0.3202850533470368,0.2705545673720828,0.32259278303043815,0.25194651190809253,0.2099063849425199,0.2331128070524796,0.14213332901831355,0.14137769662553307
