number,spoofed_f1,pred_f1,cluster_on_bev,dbscan_min_samples,temporal_window,motion_tolerance,min_frames_associated,min_points_per_cluster,dbscan_eps_3d
2,0.165008087033955,0.22070302702742023,False,10,8,1.9520028157504248,3,12,0.8594513179286452
17,0.1620294271344886,0.2350586636834279,False,9,14,2.8986076963437,5,17,0.7415809576701855
21,0.13994739146272706,0.26833448083163963,False,15,6,1.6826512574080588,4,21,0.5138595722089846
78,0.1511671770233463,0.2669188446032419,False,15,10,1.5783737811075276,2,14,0.5117633658380274
