budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.8141907126135653,0.788891043686387,0.7573242857882929,0.19706950172504611,0.2435905360892941,0.2769425028553036,0.08101045293071801,0.08101045293071801,0.08101045293071801
40,0.7850868195210879,0.5589546629360843,0.5121956158671188,0.1197991391483063,0.16972580135193832,0.1850332593794523,0.014762516039980408,0.014762516039980408,0.014762516039980408
100,0.6289254774443966,0.44101226663347687,0.3926607166751261,0.03414634143837398,0.042682926803734755,0.048490127732610376,0.0,0.0,0.0
200,0.323800191383472,0.24313203433440433,0.22799511370149897,0.02284165698092534,0.02284165698092534,0.02284165698092534,0.0,0.0,0.0
