budget,detection_f1,detection_precision,detection_recall
0,0.47192285876347134,0.5209768315591734,0.43131156039398655
10,0.4865168539325843,0.5309625996321276,0.4489372731985485
20,0.4869418702611626,0.53125,0.4494556765163297
40,0.49244543928371565,0.5349544072948328,0.45619491964748576
60,0.48011283497884344,0.5266089108910891,0.44116122343182995
100,0.47753602712630694,0.5248447204968945,0.4380508035251426
150,0.4649572649572649,0.5161290322580645,0.4230171073094868
200,0.4561604584527221,0.509929532351057,0.4126490409538621
