budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.5748680957620769,0.48648560537591523,0.44863672708951546,0.36525465360970577,0.3252669280085552,0.28665132338570026,0.37997611106845663,0.32845614372092985,0.32260327937348454
10,0.5266406090541542,0.4205826361992051,0.3842463697088733,0.3375981357829473,0.2923980944088821,0.2643240238383855,0.2918851964990469,0.24778893233690877,0.2521493904519942
20,0.48040037532739993,0.3783702421429658,0.34300078706786064,0.34150491876757694,0.2972914492958533,0.2605608947001872,0.24290413420725243,0.2109149215595052,0.21338947890079027
40,0.42043033661563584,0.3155668059386712,0.29373859675828606,0.2774892664331682,0.24697699510572374,0.2136327391305042,0.19876180273149177,0.1897958214157854,0.18794082004845192
60,0.3805943821770479,0.28912463787710185,0.25928261720558815,0.252413633805911,0.21934440981771947,0.18788188487545293,0.16031520997618587,0.14784727257073482,0.15131105447864077
100,0.30588152056739903,0.23375993211063742,0.2100686056681446,0.20334006511108466,0.18218098411990796,0.15873102584043897,0.12516033591886633,0.11601685408413925,0.12126329559269199
150,0.23005594605161786,0.1777097287431441,0.1620392783256556,0.14414811627820942,0.12079637421870082,0.11245246716885875,0.08605579346100983,0.08298729719540902,0.08680750572106222
200,0.1911445549808581,0.14988948379451436,0.14800338959674114,0.0856511929559228,0.07796649909991377,0.06869289469743906,0.06462258076635967,0.06674232671928072,0.07191292091614235
