budget,car_ap_easy,car_ap_moderate,car_ap_hard,pedestrian_ap_easy,pedestrian_ap_moderate,pedestrian_ap_hard,cyclist_ap_easy,cyclist_ap_moderate,cyclist_ap_hard
0,0.6000341488078205,0.5242809822515755,0.5103080366312406,0.07848514765625375,0.07848514765625375,0.07848514765625375,0.02439024387804878,0.02439024387804878,0.02439024387804878
40,0.39853150535306686,0.33014178258253135,0.31434655709628434,0.02787456445709584,0.07271671415187599,0.07271671415187599,0.0,0.0,0.0
100,0.31724590462738883,0.2607988513346466,0.25766987154805293,0.024390243899729,0.030894308939945797,0.030894308939945797,0.0,0.0,0.0
200,0.253145554947059,0.19616746667869955,0.20412494648034474,0.0022172949000201572,0.0022172949000201572,0.0022172949000201572,0.0,0.0,0.0
